Symbol,Cellular_Specificity_Score
IL1B,0.95
IL6,0.9
TNF,0.88
NLRP3,0.91
MTOR,0.82
IFNg,0.2
NGAL,0.5
Hepcidin,0.5
ULK1,0.5
IL17A,0.5
iNOS,0.5
STAT1,0.5
IL10,0.75
BECN1,0.5
IKKb,0.5
AMPK,0.5
LAMP1,0.92
CASP1,0.5
ATG5,0.5
ATG7,0.5
CD86,0.85
GSDMD,0.5
IL18,0.5
p62,0.5
vATPase,0.5
RAB7,0.5
CathD,0.5
STAT6,0.5
ARG1,0.5
A20,0.5
Ferroportin,0.5
p65,0.5
NFkB,0.5
p47phox,0.5
LAMP2,0.5
IL12p40,0.5
gp91phox,0.5
TGFb,0.5
TfR1,0.5
ASC,0.5
LC3B,0.5
MnSOD,0.5
RAB5,0.5
CD163,0.5
Ferritin,0.5
NRAMP1,0.5
IkBa,0.5
Catalase,0.5
